City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
boston,Pharma,,Public,50-200,Associate Scientist ,Bachelors or Equivalent,1,80000,5500,3750,5000,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Industrial biotech,,Start-up,Jan-50,Director,PhD or Equivalent,16,220000,20%,Not Applicable/None,33000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Industrial biotech,,Start-up,Jan-50,Principal Scientist ,PhD or Equivalent,16,165000,Not Applicable/None,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
toronto,Pharma,Benchsci,Private,200-1000,Science,PhD or Equivalent,5,75000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Toronto,
boston,Pharma,,Public,5000+,Sr. Scientist 1,Masters or Equivalent,7,115000,11000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Public,5000+,Scientist II,PhD or Equivalent,3,150000,30000,35000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Public,1000-5000,Principal scientist ,PhD or Equivalent,12,180000,36000,45000,50000,100000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
san francisco,Medical Devices,Twist Bioscience,Start-up,200-1000,Manufacturing Associate,Associate’s Degree or Equivalent,0,66000,Not Applicable/None,6000,2000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Gene Therapy,,Private,50-200,Senior Research Associate,Bachelors or Equivalent,4,90500,2000,Not Applicable/None,3000,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
thousand oaks,Pharma,,Private,5000+,PD Senior Associate,Bachelors or Equivalent,6,80293,10% based on salary and review,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Thousand Oaks,
bay area,Pharma,,Start-up,Jan-50,Scientist III,PhD or Equivalent,6,150000,12000,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
rtp north carolina,Pharma,Cambrex,Private,200-1000,Scientist 1,PhD or Equivalent,1,79560,2,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rtp North Carolina,
"rtp/raleigh, nc",Pharma,,Public,200-1000,Manufacturing Associate ,Bachelors or Equivalent,1,52000,8%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rtp/Raleigh,
"rockville, md",Pharma,GSK,Public,5000+,Associate Scientist,Bachelors or Equivalent,3,77500,6200,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rockville,
san diego,Pharma,,Public,5000+,Sr. Associate II,Bachelors or Equivalent,5,115000,11500,4000,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
bay area,Diagnostics ,,Public,1000-5000,Scientist II ,PhD or Equivalent,2,155000,13500,7000,15000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"halifax, nova scotia",Pharma,,Private,200-1000,Senior Analytical Chemist,Masters or Equivalent,9,74000,Not Applicable/None,Not Applicable/None,0,1000,,,2022,,,,,,,,,,,,,,,,,"Halifax, Nova Scotia",
rockville,Medical Devices,Tetracore,Private,50-200,Mechanical Engineer,Bachelors or Equivalent,2,78600,2000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rockville,
bay area,Medical Devices,,Private,50-200,Research Associate 1,Bachelors or Equivalent,1,67000,Not Applicable/None,4000,0,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,,Public,5000+,Scientist,Bachelors or Equivalent,5,107000,10700,10700,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
waltham,Pharma,Sanofi,Private,5000+,Sr. Research Associate,Masters or Equivalent,0,85000,8500,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Waltham,
sf bay area,Pharma,,Public,200-1000,Associate Director,PhD or Equivalent,10,200000,40000,45000,10000,,,,2022,,,,,,,,,,,,,,,,,Sf Bay Area,
san diego,Pharma,,Start-up,Jan-50,Director,PhD or Equivalent,10,220000,49500,Not Applicable/None,15000,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
los angeles,Pharma,Takeda,Public,5000+,Quality Analyst I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
boston,Pharma,,Private,50-200,Scientist I,PhD or Equivalent,0,130000,"13,000",Monopoly money,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Academia/Research,,Start-up,50-200,Research Associate ,Masters or Equivalent,2,85000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
philadelphia metro area,Pharma,,Private,50-200,Research Associate I,Bachelors or Equivalent,0,49000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia Metro Area,
bay area,Medical Devices,,Start-up,50-200,Scientist,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,,8000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
switzerland,Pharma,,Public,5000+,Director,Masters or Equivalent,5,200000,20%,Not Applicable/None,,30000,,,2022,,,,,,,,,,,,,,,,,Switzerland,
rtp,Biotech,,Private,50-200,Research Associate I,Masters or Equivalent,1,50000,"varies >$2,000",Not Applicable/None,3000,,,,2022,,,,,,,,,,,,,,,,,Rtp,
boston,Pharma,,Private,50-200,QC Sr Manager,Bachelors or Equivalent,11,140000,21000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Public,50-200,Senior Manager,Masters or Equivalent,9,130000,24000,10000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
philadelphia,Pharma,,Start-up,50-200,Senior Associate Scientist ,Bachelors or Equivalent,6,85000,8500,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia,Pennsylvania
"hayward, ca",Pharma,,Public,200-1000,Scientist,PhD or Equivalent,0,145000,14500,Not Applicable/None,10000,10000,,,2022,,,,,,,,,,,,,,,,,Hayward,
phoenix,Pharma,,Private,1000-5000,Associate Scientist II,PhD or Equivalent,0,107000,5300,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Phoenix,
"ridgefield, ct",Pharma,,Private,5000+,Sr. Scientist,PhD or Equivalent,3,120000,Not Applicable/None,Not Applicable/None,0,3000,,,2022,,,,,,,,,,,,,,,,,Ridgefield,
bay area,Academia/Research,,Public,50-200,Sr. Scientist,Masters or Equivalent,7,120000,12000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
cambridge,Pharma,,Public,50-200,Research associate II,Masters or Equivalent,0,80000,2400,5000,0,0,,,2022,,,,,,,,,,,,,,,,,Cambridge,Massachusetts
greater boston,Pharma,,Public,5000+,Scientist,Bachelors or Equivalent,8,84500,5000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Greater Boston,
boston,Pharma,,Public,1000-5000,Sr scientist,PhD or Equivalent,3,150000,27000,25000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
georgia,Pharma,,Public,1000-5000,Regulatory Affairs,PhD or Equivalent,8,138000,20000,20000,,,,,2022,,,,,,,,,,,,,,,,,Georgia,
munich,Hematology,,Private,200-1000,Technical assistant,Associate’s Degree or Equivalent,0,44200,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Munich,
boston,Pharma,Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6,93500,7500,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
chicago,Industrial Fermentation (CO2 gas fermentation),LanzaTech,Private,200-1000,Scientist,PhD or Equivalent,1,115000,11500,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Chicago,Illinois
san diego,Pharma,,Private,5000+,Principal Scientist I,PhD or Equivalent,2,125000,18500,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
"gaithersburg, maryland",Pharma,Catalent ,Public,5000+,Manufacturing Associate 1,Bachelors or Equivalent,0,62500,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,"Gaithersburg, Maryland",
"baltimore, md",Academia/Research,,Private,1000-5000,Biosignals Engineer,Masters or Equivalent,1,84000,Not Applicable/None,Not Applicable/None,4000,,,,2022,,,,,,,,,,,,,,,,,Baltimore,
bay area,Pharma,,Start-up,50-200,Senior Research Associate ,Masters or Equivalent,4,101000,7000,7000,10000,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
san diego,Medical Devices,,Public,200-1000,Clinical Scientist ,M.D./PharmD/D.D.S. or Equivalent,2,103000,10300,Not Applicable/None,5000,0,,,2022,,,,,,,,,,,,,,,,,San Diego,California
boston,Pharma,,Public,200-1000,"Associate Director, Commercial",PhD or Equivalent,5,180000,36000,2000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Biotech ,,Start-up,Jan-50,Senior Researcher ,PhD or Equivalent,0,95000,Not Applicable/None,Will Start offering after a few months ,,10000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Ultragenyx ,Public,200-1000,Research associate I,Bachelors or Equivalent,0,80000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
san diego,Pharma,,Private,50-200,Research Associate I,Bachelors or Equivalent,1,75000,Not Applicable/None,2000,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
san diego,Pharma,,Start-up,50-200,Scientist I,PhD or Equivalent,0,120000,12000,options,7000,20000,,,2022,,,,,,,,,,,,,,,,,San Diego,California
new jersey,Pharma,,Public,5000+,Associate principal scientist ,PhD or Equivalent,6,136000,21000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,New Jersey,
bay area,Pharma,,Public,50-200,Senior Research Associate I,Bachelors or Equivalent,4,102000,8160,10000,6000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,,Start-up,50-200,Sr. Scientist 2,PhD or Equivalent,7,170000,29750,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
seattle wa,Life Science tools,,Public,200-1000,Manufacturing Research Associate I I,Bachelors or Equivalent,2,59500,"2,000","10,000",,,,,2022,,,,,,,,,,,,,,,,,Seattle Wa,
boston,Pharma,,Public,1000-5000,QA Analyst,Bachelors or Equivalent,2,105000,12%,25k,20000,10000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
san francisco,Pharma,Roche,Public,5000+,System support engineer,Bachelors or Equivalent,6,93000,4600,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
cambridge massachusetts,Pharma,Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6,94000,7000,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,Cambridge Massachusetts,
houston,Pharma,,Public,5000+,Core Technician,Masters or Equivalent,0,49400,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Houston,Texas
south san francisco,Academia/Research,,Start-up,Jan-50,Research associate ,Bachelors or Equivalent,1,63500,Not Applicable/None,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,South San Francisco,
boston ma,Pharma,,Private,Jan-50,Senior Scientist,Masters or Equivalent,19,143000,"20,000",Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,Boston Ma,
raleigh,Pharma,,Start-up,50-200,Sr Scientist,PhD or Equivalent,3,120000,12000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Raleigh,North Carolina
san diego,Pharma,,Public,5000+,Sr. Scientist,PhD or Equivalent,7,145000,25000,30000,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
boston,Pharma,,Public,1000-5000,Manufacturing associate II,Bachelors or Equivalent,3,7550,5000,15000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"san diego, ca",Pharma,,Start-up,50-200,Director,PhD or Equivalent,19,200000,40000,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
san francisco,Pharma,,Public,50-200,Research Associate II,Bachelors or Equivalent,4,102000,10200,2600 Options ,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Cosmetics,Manus bio,Private,50-200,Scientist,PhD or Equivalent,0,103000,Not Applicable/None,25000,,3000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,,Start-up,50-200,Scientist II,PhD or Equivalent,3,132000,Not Applicable/None,Not Applicable/None,,6000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"houston,tx",Academia/Research,,Start-up,50-200,Scientific Development Program Associate,Bachelors or Equivalent,1,65000,6800,73000,,,,,2022,,,,,,,,,,,,,,,,,Houston,Texas
nj,Pharma,,Private,5000+,qa,Bachelors or Equivalent,6,110000,15000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Nj,
montreal,Academia/Research,McGill University ,Academia/College/Universities,5000+,Research Technician ,Associate’s Degree or Equivalent,3,46592,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Montreal,
dc,Pharma,,Public,1000-5000,Director,Bachelors or Equivalent,17,240000,50000,130000,,,,,2022,,,,,,,,,,,,,,,,,Washington,District of Columbia
boston,Pharma,,Public,5000+,Senior Research Associate,Masters or Equivalent,0,90000,9000,Not Applicable/None,,7500,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"boston, ma",Pharma,,Start-up,Jan-50,Senior Scientist,PhD or Equivalent,4,150000,15%,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
athens,bioplastics,,Start-up,200-1000,Bioprocesses Technician,High School or Equivalent,0,45697.6,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Athens,
bay area,Biotech,,Private,50-200,Sr. Research Associate ,Bachelors or Equivalent,4,103000,8% bonus ,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
san francisco,synbio,,Start-up,200-1000,Research Associate 1,Bachelors or Equivalent,3,78000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Resilience,Private,1000-5000,Associate Director,PhD or Equivalent,7,170000,17000,17000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"boston, ma",Pharma,,Public,50-200,"Associate Director, Scientific Communications ",PhD or Equivalent,7,165000,"33,000",68970,5000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
seattle but i work remotely from fl,Academia/Research,,Public,200-1000,Intern,Masters or Equivalent,2,60000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Seattle But I Work Remotely From Fl,
san diego,Pharma,ImmunityBio,Public,,Purchasing Assistant ,Bachelors or Equivalent,1,65000,5000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
san diego,Pharma,,Public,1000-5000,Sr Scientist/Manager ,PhD or Equivalent,6,145000,15%,Not Applicable/None,7500,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
boston,Biotechnology,,Start-up,Jan-50,Sr. Scientist,PhD or Equivalent,6,160000,24000,50000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Animal Health,,Public,5000+,Scientist ,PhD or Equivalent,0,120000,Not Applicable/None,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,,Private,50-200,Senior Scientist I,Bachelors or Equivalent,9,140000,16800,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
philadelphia,Academia/Research,Century Therapeutics,Public,50-200,Research Associate,Bachelors or Equivalent,1,95000,4750,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia,Pennsylvania
boston,Biologics,,Public,200-1000,Associate scientist ,Masters or Equivalent,0,95000,9500,3000,3000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area - mid penninsula,Pharma,,Start-up,50-200,Senior Research Associate 1,Masters or Equivalent,4,98000,9800,yes,0,0,,,2022,,,,,,,,,,,,,,,,,Bay Area - Mid Penninsula,
cambridge uk,Sequencing/Genetic Analysis,,Public,5000+,Data Steward I,Bachelors or Equivalent,1,35700,1800,2500,,,,,2022,,,,,,,,,,,,,,,,,Cambridge Uk,
u.k.,Academia/Research,,Academia/College/Universities,5000+,Research Associate,PhD or Equivalent,18,31400,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,U.K.,
seattle,Pharma,Bristol Myers Squibb,Private,5000+,Senior research associate,Bachelors or Equivalent,1,85000,5000,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
boston,Academia/Research,Dana farber Cancer institute,Academia/College/Universities,5000+,Research fellow,PhD or Equivalent,4,64000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,Genentech,Private,1000-5000,Scientist I,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
san francisco,Pharma,,Public,1000-5000,Quality Sr Associate,Bachelors or Equivalent,8,120000,15000,15000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
seattle,Pharma,BMS,Public,5000+,Scientist ,Masters or Equivalent,6,123000,12300,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
new jersey,Pharma,,Public,5000+,Senior Scientist,PhD or Equivalent,6,130000,16900,Not Applicable/None,5000,25000,,,2022,,,,,,,,,,,,,,,,,New Jersey,
minnesota,Academia/Research,,Private,5000+,Clinical lab tech,Bachelors or Equivalent,3,68500,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Minnesota,
california,Pharma,,Public,50-200,Scientist II,PhD or Equivalent,6,135000,10000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,California,
bay area,Pharma,,Public,1000-5000,Senior research associate,Masters or Equivalent,6,115,5,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"canada, ottawa",Academia/Research,,Academia/College/Universities,50-200,Lab Technician,Associate’s Degree or Equivalent,2,45000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,"Canada, Ottawa",
boston,Pharma,,Public,5000+,Scientist,PhD or Equivalent,0,110000,15%,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Private,1000-5000,Associate Director,PhD or Equivalent,12,180000,36000,Not Applicable/None,20000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
philadelphia metro,Pharma,Catalent,Public,5000+,QA Inspector,Bachelors or Equivalent,0,50000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia Metro,
bay area,Pharma,,Public,200-1000,Research Associate III,Bachelors or Equivalent,3,99000,9900,1000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
denver,Pharma,,Private,Jan-50,Senior Scientist,PhD or Equivalent,7,110000,11000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Denver,
dc area,Pharma,,Public,1000-5000,Manager,Bachelors or Equivalent,7,125000,75000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Dc Area,
san francisco,Pharma,,Private,Jan-50,Senior Research Associate II,Bachelors or Equivalent,7,110000,Not Applicable/None,Not Applicable/None,2500,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,,Public,1000-5000,Scientist,PhD or Equivalent,3,104000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Start-up,Jan-50,Principal Research Associate,Masters or Equivalent,3,100000,3000,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
ireland,Pharma,BioMarin,Public,1000-5000,Biotechnician,Bachelors or Equivalent,3,53000,Between 10-14%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Ireland,
san diego,Medical Devices,,Public,5000+,Senior Product Support Engineer,Masters or Equivalent,12,108000,5000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
"remote, tx, us",Pharma,Ergomed,Public,1000-5000,Project Manager,Masters or Equivalent,7,150000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,"Remote, Tx",
seattle,Pharma,,Public,1000-5000,Director,PhD or Equivalent,11,200000,50000,25000,45000,50000,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
boston,Pharma,Alnylam,Private,1000-5000,Associate Scientist II,Bachelors or Equivalent,1,78000,7800,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Start-up,Jan-50,Sr. Director,PhD or Equivalent,15,250000,50000,Not Applicable/None,50000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Start-up,50-200,Research Associate I,Bachelors or Equivalent,0,70000,7000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,VIR,Public,200-1000,Scientist I,PhD or Equivalent,0,130000,16250,5750,,40000,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"remote, hq in san diego",synthetic biology,,Public,200-1000,Field Application Scientist,Masters or Equivalent,7,110000,"27,750",stock options,0,,,,2022,,,,,,,,,,,,,,,,,"Remote, Hq In San Diego",
chicago,Medical Devices,,Private,200-1000,Biomedical Engineer 1,Bachelors or Equivalent,3,70000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Chicago,Illinois
boston,Medical Devices,Qiagen,Public,5000+,Lab Technician,Bachelors or Equivalent,1,43680,Not Applicable/None,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston/cambridge,Pharma,,Start-up,50-200,Research Associate I ,Bachelors or Equivalent,2,77000,3850,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston/Cambridge,
bay area,Pharma,,Private,200-1000,Scientist,Bachelors or Equivalent,17,133000,20000,5000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
new jersey,Pharma,,Start-up,Jan-50,Director,Bachelors or Equivalent,7,180000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,New Jersey,
boston,Pharma,Verve therapeutics,Public,50-200,Senior research associate,Masters or Equivalent,2,88000,11000,16000,0,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
